baraj_adi,yil_2010,yil_2011,yil_2012,yil_2013,yil_2014,yil_2015,yil_2016,yil_2017,yil_2018,yil_2019,yil_2020,yil_2021
HATAP,0.0,84.9,75.0,68.2,11.2,46.1,64.5,34.8,28.7,42.5,28.5,0.6
CORUM,83.2,66.3,57.2,76.4,28.7,25.1,65.7,48.3,18.1,61.7,62.2,17.4
ADIGUZEL,25.8,34.8,45.8,49.9,26.6,48.8,24.4,1.6,0.0,0.0,0.0,0.0
CINDERE,68.2,98.3,97.9,92.5,97.1,95.1,94.2,98.6,72.9,64.1,43.5,26.1
TAVAS YENIDERE,39.4,42.5,74.3,74.8,63.3,51.1,47.9,55.1,54.2,57.4,35.5,9.3
GOKPINAR VALI RECEP YAZICIOGLU ,39.4,42.5,40.2,39.9,18.0,14.0,17.5,9.6,27.7,19.5,5.8,15.0
ADIGUZEL-2,39.4,42.5,40.2,39.9,0.0,78.6,82.8,71.0,26.8,30.4,0.0,0.0
BULDAN,22.0,24.3,36.2,46.9,28.4,41.8,23.4,11.9,6.9,1.3,0.0,0.0
AYDINLAR AKBAS,39.4,42.5,40.2,39.9,29.1,47.5,37.4,0.0,49.1,1.9,11.4,15.6
KARAKAYA,82.0,88.9,28.0,62.8,20.5,85.9,63.3,51.3,27.7,73.1,36.7,21.1
KRALKIZI,43.1,30.8,38.4,30.2,12.1,39.0,26.5,14.9,17.7,52.1,47.8,26.0
DICLE,39.4,42.5,64.0,69.2,19.4,28.5,84.2,74.1,71.5,71.6,80.6,67.9
DEVEGECIDI,15.1,25.0,32.6,45.5,9.3,39.6,13.4,12.8,8.3,40.2,19.6,3.6
CINAR GOKSU,39.4,42.5,13.0,27.8,0.0,14.1,0.0,0.0,0.3,51.0,33.9,0.0
PAMUKCAY,39.4,42.5,40.2,39.9,29.1,47.5,0.0,91.2,97.6,100.0,86.5,39.4
HASANLAR,29.4,21.7,22.1,3.1,11.1,10.6,7.9,7.6,7.2,1.3,5.2,31.5
HAMZADERE,39.4,42.5,37.5,26.9,35.4,34.3,23.6,50.6,53.6,56.2,53.8,52.4
KADIKOY,32.7,13.8,5.1,17.4,14.9,5.8,3.3,14.7,39.3,31.7,7.2,14.7
SULOGLU,73.6,53.4,61.7,56.4,44.7,63.5,62.9,33.3,74.9,50.6,30.0,66.2
KARPUZLU,39.4,42.5,19.0,38.6,59.2,43.6,37.9,37.5,52.1,47.1,48.5,52.4
ALTINYAZI,49.1,41.4,35.5,42.1,42.4,22.6,1.1,0.3,46.2,4.7,1.5,11.1
SULTANKOY,28.6,18.3,17.4,4.5,24.9,16.4,8.5,14.6,61.2,55.2,60.5,41.8
KEBAN,68.9,78.1,62.4,72.5,32.1,64.8,72.7,31.1,44.2,72.9,46.7,29.5
BEYHAN-1,39.4,42.5,40.2,39.9,29.1,47.5,9.6,93.8,51.8,27.8,13.6,18.8
PEMBELIK,39.4,42.5,40.2,39.9,0.0,45.2,90.1,95.5,59.3,91.6,81.6,90.7
TATAR,39.4,42.5,40.2,39.9,8.1,28.5,82.3,95.0,61.9,77.5,74.2,71.2
SEYRANTEPE,80.0,78.8,100.0,91.6,71.3,95.4,92.3,92.1,81.7,83.3,69.3,72.8
KALECIK,25.7,29.4,58.4,67.0,34.3,31.4,70.7,37.9,60.9,52.1,49.4,77.1
CIP,19.0,6.9,15.2,30.6,11.9,61.8,48.0,14.2,10.3,70.5,51.5,53.8
BAGISTAS-1,39.4,42.5,40.2,39.9,29.1,47.5,34.0,55.6,52.0,54.0,92.4,22.8
TERCAN,35.9,22.6,33.7,37.5,45.4,47.4,50.1,50.7,41.1,38.9,53.0,66.8
ERZINCAN,2.4,14.4,2.4,5.8,0.0,3.0,11.0,0.0,7.8,0.0,0.0,22.5
DEMIRDOVEN,26.2,19.5,8.3,33.5,0.0,11.6,18.8,2.8,39.1,20.7,23.8,5.0
AYVALI,75.4,79.1,75.9,75.9,40.8,48.4,28.5,2.3,10.6,55.2,48.5,30.6
ARKUN,39.4,42.5,40.2,39.9,8.3,32.7,52.0,59.9,84.4,99.1,91.1,49.3
GULLUBAG,39.4,42.5,69.3,58.7,75.5,70.2,32.0,36.6,51.0,48.6,65.9,77.4
PAZARYOLU,39.4,42.5,40.2,39.9,29.1,47.5,75.7,73.9,73.9,43.0,36.5,36.5
KUZGUN,13.6,29.6,24.4,32.2,22.7,34.9,37.6,36.4,47.3,47.5,38.4,20.5
PALANDIKEN,62.2,73.7,61.0,59.1,24.6,55.0,75.2,75.7,84.8,89.7,82.5,64.1
SARIYAR,39.4,42.5,41.6,60.1,39.6,62.2,52.3,50.5,48.0,59.2,53.3,48.1
GOKCEKAYA,60.2,79.6,61.9,78.3,79.1,69.3,82.3,83.1,67.5,69.2,18.6,19.4
PORSUK,61.1,64.3,70.4,58.5,34.7,74.4,60.1,42.5,33.1,38.6,32.9,34.9
BEYLIKOVA DEPOLAMASI,39.4,42.5,40.2,39.9,0.0,0.0,0.0,0.0,28.2,16.9,17.1,29.3
YENICE,89.2,31.8,30.6,3.8,27.2,57.8,44.3,11.8,0.0,3.6,0.0,0.0
CATOREN,18.9,41.0,47.0,11.2,3.3,88.9,26.3,9.9,12.4,16.1,6.3,5.3
KUNDUZLAR,8.4,7.0,6.1,7.3,7.5,26.7,9.0,14.7,18.8,14.0,10.9,9.3
ASAGI KUZFINDIK,39.4,42.5,74.3,45.4,9.5,41.6,35.4,36.3,26.3,17.3,10.3,1.4
KESKIN,39.4,42.5,40.2,39.9,29.1,47.5,37.4,34.7,34.6,2.0,2.0,0.0
KARKAMIS,81.0,83.0,50.8,32.0,69.1,67.1,39.6,72.2,83.4,71.1,73.2,80.7
KAYACIK,0.0,3.8,5.6,6.0,0.0,19.0,11.6,6.7,11.0,40.5,12.3,26.0
HANCAGIZ,0.0,0.0,3.3,18.5,0.0,0.0,2.1,0.5,1.4,57.2,38.4,24.9
TORUL,8.8,13.3,26.9,38.3,57.7,60.6,30.2,4.8,9.3,15.3,6.2,4.4
KURTUN,37.0,45.5,53.3,51.1,45.1,73.2,75.1,44.6,1.5,34.5,73.7,54.3
AKKOY 1,39.4,42.5,62.6,52.6,45.2,8.8,46.0,2.2,8.8,4.4,45.2,61.0
KOSE,39.4,42.5,40.2,39.9,29.1,47.5,62.6,67.1,67.1,67.1,66.8,24.0
KORULUK,39.4,42.5,0.0,86.1,52.0,45.6,54.0,74.1,74.1,74.1,74.1,56.1
TAHTAKOPRU,39.4,42.5,22.5,14.5,0.0,11.2,0.0,0.0,1.9,0.0,0.0,0.0
YARSELI,39.4,42.5,7.3,11.6,6.6,0.6,2.3,2.3,1.6,8.3,2.2,1.5
YAYLADAG,34.8,45.1,33.0,27.1,0.0,30.1,44.8,32.3,32.5,28.5,0.0,5.2
ULUBORLU,55.8,60.4,52.4,32.2,24.8,17.4,0.0,0.0,0.0,7.2,0.0,1.6
SORGUN,38.2,27.1,41.7,38.1,32.3,47.1,30.7,37.4,23.6,59.8,33.8,26.9
YALVAC,0.0,21.1,18.2,0.0,0.0,19.0,14.6,20.2,14.9,25.1,11.6,0.0
DARIDERESI,39.4,42.5,40.2,39.9,29.1,47.5,37.4,0.0,30.6,36.7,23.1,49.6
BERDAN,17.4,28.1,46.2,30.7,39.6,32.1,20.3,33.5,37.2,38.5,31.2,16.0
ALAKOPRU,39.4,42.5,40.2,39.9,29.1,47.5,33.4,65.2,47.0,71.7,72.6,84.2
GEZENDE,0.0,5.8,93.0,36.0,24.2,7.3,47.5,30.5,28.2,54.4,13.2,36.5
OMERLI,57.8,60.8,64.4,60.4,18.8,74.3,49.2,60.5,63.1,47.9,54.4,87.0
TERKOS,39.4,42.5,47.3,59.4,57.2,68.0,54.6,61.7,56.5,65.3,38.9,65.4
BUYUKCEKMECE,39.4,42.5,50.5,44.5,9.1,54.3,22.5,49.8,55.9,49.1,18.6,52.8
DARLIK,61.0,59.8,51.5,57.4,7.2,64.0,52.9,46.6,61.3,53.4,68.2,58.8
SAZLIDERE,72.0,67.4,49.0,38.2,4.5,15.4,36.1,41.0,18.8,45.4,9.9,29.9
ALIBEY,17.0,44.9,18.3,22.6,19.8,61.2,40.4,65.1,53.6,40.1,21.4,27.2
KAZANDERE,92.6,67.1,33.5,8.7,28.8,81.2,61.0,72.7,57.9,20.4,5.5,13.7
ELMALI II,39.4,42.5,67.3,47.8,43.7,94.0,0.6,0.6,62.7,74.4,32.6,71.1
BUYUKDERE,39.4,42.5,66.7,22.5,95.3,100.0,70.3,100.0,44.9,20.8,11.9,14.8
